address,size_bytes,size_hex,symbol_name,raw_name,binding,source_file,reference_file,object_id,object_source,classification,status,attempts,best_score,commit,notes_file
0x003DD180,640,0x280,sceSifInitCmd,sceSifInitCmd,global,sifcmd.c,,external/sifcmd_1605,sifcmd.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003DD180_sceSifInitCmd.md
0x003DE978,644,0x284,sceOpen,sceOpen,global,filestub.c,,external/filestub_1607,filestub.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003DE978_sceOpen.md
0x003C9868,660,0x294,__kernel_tanf,__kernel_tanf,global,../../../../../src/newlib/libm/math/kf_tan.c,,external/kf_tan_1489,../../../../../src/newlib/libm/math/kf_tan.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C9868___kernel_tanf.md
0x003BA0D8,664,0x298,sceGsSetDefDBuff,sceGsSetDefDBuff,global,graphdev.c,,external/graphdev_1409,graphdev.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003BA0D8_sceGsSetDefDBuff.md
0x003AD598,668,0x29C,read_int__FR7istreamRUxRi,read_int__FR7istreamRUxRi,local,../../../src/libio/iostream.cc,,external/iostream_1380,../../../src/libio/iostream.cc,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003AD598_read_int__FR7istreamRUxRi.md
0x003BFB10,680,0x2A8,_initSeq,_initSeq,global,init.c,,external/init_1452,init.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003BFB10__initSeq.md
0x003C5FC0,680,0x2A8,atanf,atanf,global,../../../../../src/newlib/libm/math/sf_atan.c,,external/sf_atan_1464,../../../../../src/newlib/libm/math/sf_atan.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C5FC0_atanf.md
0x003CC130,680,0x2A8,dpmul,dpmul,global,dp-bit.c,,external/dp-bit_1507,dp-bit.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003CC130_dpmul.md
0x003C41E0,692,0x2B4,_updateRefImage,_updateRefImage,global,mpc.c,,external/mpc_1455,mpc.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C41E0__updateRefImage.md
0x003DF228,704,0x2C0,sceWrite,sceWrite,global,filestub.c,,external/filestub_1607,filestub.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003DF228_sceWrite.md
0x003BD440,736,0x2E0,sceCdInit,sceCdInit,global,../eecdvd.c,,external/eecdvd_1444,../eecdvd.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003BD440_sceCdInit.md
0x003BE238,760,0x2F8,sceMpegDemuxPssRing,sceMpegDemuxPssRing,global,pack.c,,external/pack_1450,pack.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003BE238_sceMpegDemuxPssRing.md
0x003BCCB8,764,0x2FC,sceCdSearchFile,sceCdSearchFile,global,../eecdvd.c,,external/eecdvd_1444,../eecdvd.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003BCCB8_sceCdSearchFile.md
0x003CFD90,796,0x31C,_free_r,_free_r,global,../../../../../src/newlib/libc/stdlib/mallocr.c,,external/mallocr_1528,../../../../../src/newlib/libc/stdlib/mallocr.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003CFD90__free_r.md
0x003C7BE8,804,0x324,__ieee754_logf,__ieee754_logf,global,../../../../../src/newlib/libm/math/ef_log.c,,external/ef_log_1482,../../../../../src/newlib/libm/math/ef_log.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C7BE8___ieee754_logf.md
0x003B8848,816,0x330,_IO_file_seekoff,_IO_file_seekoff,global,../../../src/libio/fileops.c,,external/fileops_1401,../../../src/libio/fileops.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003B8848__IO_file_seekoff.md
0x003CA8E0,816,0x330,throw_helper,throw_helper,local,../../src/gcc/libgcc2.c,,external/libgcc2_1500,../../src/gcc/libgcc2.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003CA8E0_throw_helper.md
0x003CDAB8,920,0x398,execute_cfa_insn,execute_cfa_insn,local,../../src/gcc/frame.c,,external/frame_1510,../../src/gcc/frame.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003CDAB8_execute_cfa_insn.md
0x003ADF20,924,0x39C,write_int__FR7ostreamUxi,write_int__FR7ostreamUxi,local,../../../src/libio/iostream.cc,,external/iostream_1380,../../../src/libio/iostream.cc,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003ADF20_write_int__FR7ostreamUxi.md
